Amostra;Freq;Set Power;SF;BW;Power;Consumption
8;433;14;7;0;14.28;0.084468
8;433;14;7;2;14.13;0.074903
8;433;14;12;0;14.29;0.084668
8;433;14;12;2;14.28;0.084917
8;433;22;7;0;21.59;0.13621
8;433;22;7;2;21.4;0.120213
8;433;22;12;0;21.56;0.136165
8;433;22;12;2;21.57;0.136601
8;470;14;7;0;14.35;0.088247
8;470;14;7;2;14.18;0.078202
8;470;14;12;0;14.35;0.088444
8;470;14;12;2;14.34;0.088666
8;470;22;7;0;21.1;0.136825
8;470;22;7;2;20.92;0.120758
8;470;22;12;0;21.08;0.136866
8;470;22;12;2;21.1;0.137197
8;868;14;7;0;13.47;0.084741
8;868;14;7;2;13.35;0.075179
8;868;14;12;0;13.48;0.084946
8;868;14;12;2;13.48;0.085192
8;868;22;7;0;21.75;0.131598
8;868;22;7;2;21.6;0.116147
8;868;22;12;0;21.74;0.131541
8;868;22;12;2;21.76;0.131948
8;915;14;7;0;12.78;0.087785
8;915;14;7;2;12.68;0.077817
8;915;14;12;0;12.78;0.088013
8;915;14;12;2;12.78;0.088242
8;915;22;7;0;21.96;0.124149
8;915;22;7;2;21.79;0.109684
8;915;22;12;0;21.95;0.12412
8;915;22;12;2;21.95;0.124534
8;923;14;7;0;12.67;0.088477
8;923;14;7;2;12.6;0.078422
8;923;14;12;0;12.67;0.088715
8;923;14;12;2;12.67;0.088943
8;923;22;7;0;21.9;0.122722
8;923;22;7;2;21.73;0.108427
8;923;22;12;0;21.89;0.122743
8;923;22;12;2;21.89;0.123112
3;433;14;7;0;14.36;0.084261
3;433;14;7;2;14.19;0.074714
3;433;14;12;0;14.36;0.084496
3;433;14;12;2;14.36;0.08473
3;433;22;7;0;21.66;0.135464
3;433;22;7;2;21.49;0.119629
3;433;22;12;0;21.68;0.13551
3;433;22;12;2;21.66;0.13594
3;470;14;7;0;14.44;0.088142
3;470;14;7;2;14.34;0.078137
3;470;14;12;0;14.43;0.088372
3;470;14;12;2;14.42;0.088607
3;470;22;7;0;21.17;0.136191
3;470;22;7;2;21;0.120229
3;470;22;12;0;21.17;0.136166
3;470;22;12;2;21.17;0.136551
3;868;14;7;0;13.65;0.084558
3;868;14;7;2;13.56;0.074986
3;868;14;12;0;13.65;0.08478
3;868;14;12;2;13.65;0.084992
3;868;22;7;0;21.8;0.13128
3;868;22;7;2;21.72;0.115923
3;868;22;12;0;21.8;0.131265
3;868;22;12;2;21.8;0.131662
3;915;14;7;0;12.94;0.087641
3;915;14;7;2;12.86;0.077712
3;915;14;12;0;12.93;0.087895
3;915;14;12;2;12.94;0.088102
3;915;22;7;0;22.04;0.124003
3;915;22;7;2;21.92;0.109586
3;915;22;12;0;22.04;0.124006
3;915;22;12;2;22.05;0.124391
3;923;14;7;0;12.84;0.088354
3;923;14;7;2;12.74;0.078328
3;923;14;12;0;12.83;0.088628
3;923;14;12;2;12.83;0.088829
3;923;22;7;0;21.99;0.122567
3;923;22;7;2;21.84;0.108324
3;923;22;12;0;21.98;0.122584
3;923;22;12;2;21.99;0.122957
11;433;14;7;0;14.48;0.086349
11;433;14;7;2;14.37;0.076532
11;433;14;12;0;14.48;0.086454
11;433;14;12;2;14.48;0.086754
11;433;22;7;0;21.79;0.138675
11;433;22;7;2;21.62;0.122386
11;433;22;12;0;21.8;0.138655
11;433;22;12;2;21.8;0.138969
11;470;14;7;0;14.49;0.090018
11;470;14;7;2;14.32;0.079734
11;470;14;12;0;14.48;0.090117
11;470;14;12;2;14.48;0.09045
11;470;22;7;0;21.31;0.139336
11;470;22;7;2;21.17;0.122923
11;470;22;12;0;21.31;0.139334
11;470;22;12;2;21.3;0.13962
11;868;14;7;0;13.83;0.085932
11;868;14;7;2;13.66;0.07621
11;868;14;12;0;13.82;0.08601
11;868;14;12;2;13.83;0.086311
11;868;22;7;0;21.87;0.13514
11;868;22;7;2;21.76;0.119274
11;868;22;12;0;21.87;0.135098
11;868;22;12;2;21.87;0.135522
11;915;14;7;0;13.09;0.088794
11;915;14;7;2;13;0.078695
11;915;14;12;0;13.09;0.088906
11;915;14;12;2;13.09;0.089182
11;915;22;7;0;22.16;0.127398
11;915;22;7;2;22.07;0.112519
11;915;22;12;0;22.16;0.127348
11;915;22;12;2;22.15;0.127734
11;923;14;7;0;12.97;0.089452
11;923;14;7;2;12.92;0.079289
11;923;14;12;0;12.97;0.089568
11;923;14;12;2;12.98;0.089846
11;923;22;7;0;22.1;0.125835
11;923;22;7;2;21.99;0.111161
11;923;22;12;0;22.11;0.125743
11;923;22;12;2;22.11;0.12615
12;433;14;7;0;14.45;0.085392
12;433;14;7;2;14.28;0.075693
